Name,Type,One Liner,Industry,Website,Description,Business Model,Technology,Customer,Pain Point,Value Chain,Theme,Focus Area,Opportunity Space,Founded,Employees,Country,City,Location,Funded,Funding Stage,Latest Funding Date,Latest Funding (USD),Total Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Inc. Radar,Hero,Comments,,,Old or New,Validated?
20-40,,App-based marketplace for shipping containers,Maritime,http://www.20-40.com,20-40 is an app-based marketplace for shipping containers. Application allows users to visualize the available routes & the list of quotes with rates and choosing carriers. It is available for android and IOS users.,,,,,,,,,2014,,Lithuania,Vilnius,,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old,
2cargo,,Online freight transport marketplace,Maritime,http://www.2cargo.com,"2cargo is an online freight transport marketplace for seaway based transportation. Freight transporters can post the details of their sailing data, vacant space details on the platform and freight owners can book them on the platform. Has partnered with various container shipping companies such as Asian express line, Atlantic container line to list vacant container spaces.",,,,,,,,,2014,,China,Beijing,,Yes,Seed,,,"1,600,000",Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old,
2da,,,,http://www.2da.us/,2DA is a software company and analytics lab focused on developing decision support solutions for commodity supply & trading businesses.  ,,,,,,,,,2016,,USA,Austin,,Yes,Series A,,,"1,100,000",,,,,,,Smart Ports,Data audit & standardisation,Old,
Ascenz,,,,http://ascenz.com/,"Ascenz provides it's proprietary software monitoring system which provides data capture of fuel consumption and bunkering which is directly delivered from moving ships to the onshore control office. The data is then translated into information for customers to monitor fuel usage and ensure fuel bunkering. Aside from this, the system sends back information about the engines, location of the ship as well as its speed and path of travel, thus also acting as a locating device for the vessel",,,,,,,,,2008,,,,,,,,,"1,210,000",,,,,,,,,,
2E logistics,,SaaS-based freight management solutions for forwarders,Logistics,https://www.2elog.com,"2E Logistics provides SaaS-based freight management solutions for freight forwarders. Offers an end-to-end solution for freight forwarders with features such as customer relationship management, supplier/carrier management, quote management for transport services, shipment bookings management, fleet management, vehicle tracking, invoicing & payments tracking, and more. Available on a monthly subscription basis depending on the number of users.",,,,,,,,,2018,,Estonia,Tallinn,,No,Unfunded,,,,Mature,,,,,,Data & AI,Fleet Utilization,Old,
Brightree,Startup,Remote fuel monitoring services for the marine industry,,https://www.brightree.com.sg/,"Brightree provides satellite and Internet of things (IoT) based remote fuel monitoring services for the marine industry. Services include marine bunker and fuel consumption monitoring, marine asset tracking, remote engine monitoring, and fuel tank monitoring. Features include real-time fuel consumption tracking, route monitoring and position alerts, engine performance trend analysis, and fuel volume, measurement, and dispense tracking.",,,,,,New Customer Solutions,Fuel Optimisation,,2011,,Singapore,Singapore,Global,,Undisclosed,,,,,,,TRUE,,,Eco friendly enforcement & enablement,Automated port surveillance,New,
Bunker Connect,,,,,Connecting buyers and sellers around the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,New,
Bunker Metric,Startup,Business intelligence tools,Maritime,http://www.bunkermetric.com,"Our vision is to bring the power of advanced analytics to the marine bunkering segment. Bunker Metric provides market insights and advanced analytics to enable intelligent procurement 
",,,,,,,,,2018,,Denmark,,,Yes,Undisclosed,,,,Mature,,,TRUE,,Funded by a Grant from the Danish Maritime Fund,,,New,Validated by HM
Bunker Trust,Startup,,Maritime,http://bunkertrust.com/,Use data to mitigate risk & improve compliance as a ship- owner. Full integration into existing bunker user ERP systems. Collaborate for level playing field for bunker ports world wide,,,,,,Digital Trading,Digital Bunker Trading,,2017,1-10,Denmark,Roskilde,,No,Undisclosed,,,,Emerging,,,TRUE,,,Business Model Innovation,Freight Orchestration,New,
360data,,SaaS based software solutions provider for logistics,Logistics,https://360data.com/,"360data is a software solutions provider for logistics businesses. Its solutions include a transportation management system, EDI solutions for data interchange, and Order Management System.Its TMS supports features like rule-based automation, performance tracking, and automated freight bill audit and payments. EDI solutions support all major transmission protocols &amp; file formats, integration with legacy systems and customizable dashboards. OMSis capable of integration with enterprise systems, warehouse inventory systems, rules-based fulfillment and reconciliation of purchase orders with inventory, shipments, and invoices.",,,,,,,,,2015,,USA,Oshkosh,,No,Unfunded,,,,Mature,,,,,,Data & AI,Fleet Utilization,Old,
3PL Freight Software,,Software solutions for trucking industry,Logistics,https://www.3plfreightsoftware.com,"3PL Freight Software provides software solutions for trucking. Its solutions include 3PL Trucking Software,  3PL Intermodal, 3PL WMS and 3PL Accounting. 3PL Trucking Software is a software solution for 3PL trucking companies, freight forwarders, and brokers which include functionalities for order receiving, dispatch, invoicing and receiving payments, and management of shipment life cycle. The WMS software includes features like barcode scanning, serial number, LOT, expiration date tracking, small parcel integration, QuickBooks integration and customer portal. The 3PL Intermodal software can be used for container management in import and export operations using multiple modes. It also provides an accounting software and mobile application for 3PL companies.  Pricing is dependent on the software solution starting at 275 Dollars per month for 3PL trucking software.",,,,,,,,,2009,,USA,Paramount,,No,Unfunded,,,,Mature,,,,,,Data & AI,Fleet Utilization,Old,
3PL Quote,,Listing platform for 3PL services,Logistics,http://get3plquotes.com,"3PL Quote provides a platform for 3PL service providers, to offer their services and for users looking for logistics service to contact and request quotes from multiple 3PL providers at a single place. Users can search for a vendor based on location, type of service etc. while vendors can upload their details on the platform to generate leads. Services which can be availed through the platform include warehousing, freight forwarding, order fulfilment services, SCM, E-commerce logistics, 3PL consulting, reverse logistics etc.",,,,,,,,,2014,,Canada,Toronto,,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old,
